NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2011 The Lemonada Project Authors (https://github.com/Gue3bara/Lemonada)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Lemonada	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	4.004;1KTF;Lemonada-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Lemonada Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 4.004	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Lemonada-Regular	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Kief Type Foundry	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Mohamed Gaber (Arabic), Eduardo Tunni (Latin)	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://kieftype.com/	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://gaberism.net	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2011 The Lemonada Project Authors (https://github.com/Gue3bara/Lemonada)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Lemonada	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	4.004;1KTF;Lemonada-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Lemonada Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 4.004	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Lemonada-Regular	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Kief Type Foundry	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Mohamed Gaber (Arabic), Eduardo Tunni (Latin)	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://kieftype.com/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://gaberism.net	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Name ID [256]	Windows	Unicode BMP	English (United States)	Weight	(3, 1, 1033, 256)
Name ID [257]	Windows	Unicode BMP	English (United States)	Light	(3, 1, 1033, 257)
Name ID [258]	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 258)
Name ID [259]	Windows	Unicode BMP	English (United States)	SemiBold	(3, 1, 1033, 259)
Name ID [260]	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 260)
