NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 1992-2018 AsiaSoft Inc. Seoul Korea All Rights Reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Stylish	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.64;ASIA;Stylish-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Stylish Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.64	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Stylish-Regular	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	AsiaSoft Inc.	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	AsiaSoft Inc.	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://www.asiafont.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.asiafont.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 1992-2018 AsiaSoft Inc. Seoul Korea All Rights Reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Stylish	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.64;ASIA;Stylish-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Stylish Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.64	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Stylish-Regular	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	AsiaSoft Inc.	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	AsiaSoft Inc.	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.asiafont.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.asiafont.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Family Name	Windows	Unicode BMP	Korean (Korea)	스타일리쉬	(3, 1, 1042, 1)
Subfamily Name	Windows	Unicode BMP	Korean (Korea)	Regular	(3, 1, 1042, 2)
Unique Font Identifier	Windows	Unicode BMP	Korean (Korea)	1.64;ASIA;Stylish-Regular	(3, 1, 1042, 3)
Full Font Name	Windows	Unicode BMP	Korean (Korea)	Stylish Regular	(3, 1, 1042, 4)
PostScript Name	Windows	Unicode BMP	Korean (Korea)	Stylish-Regular	(3, 1, 1042, 6)
Manufacturer	Windows	Unicode BMP	Korean (Korea)	(주)아시아소프트	(3, 1, 1042, 8)
Designer	Windows	Unicode BMP	Korean (Korea)	(주)아시아소프트	(3, 1, 1042, 9)
