NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2018 IBM Corp. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	IBM Plex Serif Light	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	2.5;IBM ;IBMPlexSerif-LightItalic	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	IBM Plex Serif Light Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.5	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	IBMPlexSerif-LightItalic	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	IBM Plex™ is a trademark of IBM Corp, registered in many jurisdictions worldwide.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Bold Monday	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Mike Abbink, Paul van der Laan, Pieter van Rosmalen	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://www.boldmonday.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.ibm.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Typographic Family Name	Macintosh	Roman	English	IBM Plex Serif	(1, 0, 0, 16)
Typographic Subfamily Name	Macintosh	Roman	English	Light Italic	(1, 0, 0, 17)
Name ID [256]	Macintosh	Roman	English	alternate lowercase a	(1, 0, 0, 256)
Name ID [257]	Macintosh	Roman	English	alternate lowercase g	(1, 0, 0, 257)
Name ID [258]	Macintosh	Roman	English	slashed number zero	(1, 0, 0, 258)
Name ID [259]	Macintosh	Roman	English	dotted number zero	(1, 0, 0, 259)
Name ID [260]	Macintosh	Roman	English	alternate lowercase eszett	(1, 0, 0, 260)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2018 IBM Corp. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	IBM Plex Serif Light	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.5;IBM ;IBMPlexSerif-LightItalic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	IBM Plex Serif Light Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.5	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	IBMPlexSerif-LightItalic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	IBM Plex™ is a trademark of IBM Corp, registered in many jurisdictions worldwide.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Bold Monday	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Mike Abbink, Paul van der Laan, Pieter van Rosmalen	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.boldmonday.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.ibm.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	IBM Plex Serif	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Light Italic	(3, 1, 1033, 17)
Sample Text	Windows	Unicode BMP	English (United States)	How razorback-jumping frogs can level six piqued gymnasts!	(3, 1, 1033, 19)
Name ID [256]	Windows	Unicode BMP	English (United States)	alternate lowercase a	(3, 1, 1033, 256)
Name ID [257]	Windows	Unicode BMP	English (United States)	alternate lowercase g	(3, 1, 1033, 257)
Name ID [258]	Windows	Unicode BMP	English (United States)	slashed number zero	(3, 1, 1033, 258)
Name ID [259]	Windows	Unicode BMP	English (United States)	dotted number zero	(3, 1, 1033, 259)
Name ID [260]	Windows	Unicode BMP	English (United States)	alternate lowercase eszett	(3, 1, 1033, 260)
