NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Digitized data copyright Monotype Typography, Ltd 1991-1995. All rights reserved. Monotype Garamond® is a trademark of Monotype Typography, Ltd which may be registered in certain jurisdictions.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Garamond	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Monotype - Garamond Bold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Garamond Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.41;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Garamond-Bold	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Monotype Garamond® is a trademark of Monotype Typography, Ltd which may be registered in certain jurisdictions.	(1, 0, 0, 7)
Subfamily Name	Windows	Unicode BMP	Catalan (Catalan)	Negreta	(3, 1, 1027, 2)
Full Font Name	Windows	Unicode BMP	Catalan (Catalan)	Garamond Negreta	(3, 1, 1027, 4)
Subfamily Name	Windows	Unicode BMP	Czech (Czech Republic)	tučné	(3, 1, 1029, 2)
Full Font Name	Windows	Unicode BMP	Czech (Czech Republic)	Garamond tučné	(3, 1, 1029, 4)
Subfamily Name	Windows	Unicode BMP	Danish (Denmark)	fed	(3, 1, 1030, 2)
Full Font Name	Windows	Unicode BMP	Danish (Denmark)	Garamond fed	(3, 1, 1030, 4)
Subfamily Name	Windows	Unicode BMP	German (Germany)	Fett	(3, 1, 1031, 2)
Full Font Name	Windows	Unicode BMP	German (Germany)	Garamond Fett	(3, 1, 1031, 4)
Subfamily Name	Windows	Unicode BMP	Greek (Greece)	Έντονα	(3, 1, 1032, 2)
Full Font Name	Windows	Unicode BMP	Greek (Greece)	Garamond Έντονα	(3, 1, 1032, 4)
Copyright	Windows	Unicode BMP	English (United States)	Digitized data copyright Monotype Typography, Ltd 1991-1995. All rights reserved. Monotype Garamond® is a trademark of Monotype Typography, Ltd which may be registered in certain jurisdictions.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Garamond	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Monotype - Garamond Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Garamond Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.41;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Garamond-Bold	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Monotype Garamond® is a trademark of Monotype Typography, Ltd which may be registered in certain jurisdictions.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Monotype Typography, Inc.	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Claude Garamond	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Monotype Drawing Office 1922. This typeface is based on roman types cut by Jean Jannon in 1615. Jannon followed the designs of Claude Garamond which had been cut in the previous century. Garamond's types were, in turn, based on those used by Aldus Manutius in 1495 and cut by Francesco Griffo. The italic is based on types cut in France circa 1557 by Robert Granjon. Garamond is a beautiful typeface with an air of informality which looks good in a wide range of applications. It works particularly well in books and lengthy text settings.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com/html/mtname/ms_welcome.html	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com/html/designer/des_index.html	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com/html/type/license.html	(3, 1, 1033, 14)
Subfamily Name	Windows	Unicode BMP	Spanish (Traditional Sort) (Spain)	Negrita	(3, 1, 1034, 2)
Full Font Name	Windows	Unicode BMP	Spanish (Traditional Sort) (Spain)	Garamond Negrita	(3, 1, 1034, 4)
Subfamily Name	Windows	Unicode BMP	Finnish (Finland)	Lihavoitu	(3, 1, 1035, 2)
Full Font Name	Windows	Unicode BMP	Finnish (Finland)	Garamond Lihavoitu	(3, 1, 1035, 4)
Subfamily Name	Windows	Unicode BMP	French (France)	Gras	(3, 1, 1036, 2)
Full Font Name	Windows	Unicode BMP	French (France)	Garamond Gras	(3, 1, 1036, 4)
Subfamily Name	Windows	Unicode BMP	Hungarian (Hungary)	Félkövér	(3, 1, 1038, 2)
Full Font Name	Windows	Unicode BMP	Hungarian (Hungary)	Garamond Félkövér	(3, 1, 1038, 4)
Subfamily Name	Windows	Unicode BMP	Italian (Italy)	Grassetto	(3, 1, 1040, 2)
Full Font Name	Windows	Unicode BMP	Italian (Italy)	Garamond Grassetto	(3, 1, 1040, 4)
Subfamily Name	Windows	Unicode BMP	Dutch (Netherlands)	Vet	(3, 1, 1043, 2)
Full Font Name	Windows	Unicode BMP	Dutch (Netherlands)	Garamond Vet	(3, 1, 1043, 4)
Subfamily Name	Windows	Unicode BMP	Norwegian (Bokmal) (Norway)	Halvfet	(3, 1, 1044, 2)
Full Font Name	Windows	Unicode BMP	Norwegian (Bokmal) (Norway)	Garamond Halvfet	(3, 1, 1044, 4)
Subfamily Name	Windows	Unicode BMP	Polish (Poland)	Pogrubiony	(3, 1, 1045, 2)
Full Font Name	Windows	Unicode BMP	Polish (Poland)	Garamond Pogrubiony	(3, 1, 1045, 4)
Subfamily Name	Windows	Unicode BMP	Portuguese (Brazil)	Negrito	(3, 1, 1046, 2)
Full Font Name	Windows	Unicode BMP	Portuguese (Brazil)	Garamond Negrito	(3, 1, 1046, 4)
Subfamily Name	Windows	Unicode BMP	Russian (Russia)	Полужирный	(3, 1, 1049, 2)
Full Font Name	Windows	Unicode BMP	Russian (Russia)	Garamond Полужирный	(3, 1, 1049, 4)
Subfamily Name	Windows	Unicode BMP	Slovak (Slovakia)	Tučné	(3, 1, 1051, 2)
Full Font Name	Windows	Unicode BMP	Slovak (Slovakia)	Garamond Tučné	(3, 1, 1051, 4)
Subfamily Name	Windows	Unicode BMP	Swedish (Sweden)	Fet	(3, 1, 1053, 2)
Full Font Name	Windows	Unicode BMP	Swedish (Sweden)	Garamond Fet	(3, 1, 1053, 4)
Subfamily Name	Windows	Unicode BMP	Turkish (Turkey)	Kalın	(3, 1, 1055, 2)
Full Font Name	Windows	Unicode BMP	Turkish (Turkey)	Garamond Kalın	(3, 1, 1055, 4)
Subfamily Name	Windows	Unicode BMP	Slovenian (Slovenia)	Krepko	(3, 1, 1060, 2)
