NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2011 Silicon Andhra (fonts.siliconandhra.org). Copyright (c) 2010 by Font Diner, Inc DBA Sideshow.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Lakki Reddy	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	FontForge : Lakki Reddy : 8-1-2015	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Lakki Reddy	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.0.4; ttfautohint (v1.2.42-39fb)	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	LakkiReddy	(1, 0, 0, 6)
Designer	Macintosh	Roman	English	Appaji Ambarisha Darbha	(1, 0, 0, 9)
Designer URL	Macintosh	Roman	English	adityafonts.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Compatible Full Name	Macintosh	Roman	English	Lakki Reddy	(1, 0, 0, 18)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011 Silicon Andhra (fonts.siliconandhra.org). Copyright (c) 2010 by Font Diner, Inc DBA Sideshow.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Lakki Reddy	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	FontForge : Lakki Reddy : 8-1-2015	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Lakki Reddy	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.0.4; ttfautohint (v1.2.42-39fb)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	LakkiReddy	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Appaji Ambarisha Darbha	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	adityafonts.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Compatible Full Name	Windows	Unicode BMP	English (United States)	Lakki Reddy	(3, 1, 1033, 18)
