NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2018 The Farro Project Authors (https://github.com/grayscaleltd/farro)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Farro	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Medium	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.101;GS  ;Farro-Medium	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Farro Medium	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.101	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Farro-Medium	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Grayscale Limited	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Aceler Chua	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	https://grayscale.com.hk/	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://aclr.co	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2018 The Farro Project Authors (https://github.com/grayscaleltd/farro)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Farro Medium	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.101;GS  ;Farro-Medium	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Farro Medium	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.101	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Farro-Medium	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Grayscale Limited	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Aceler Chua	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	https://grayscale.com.hk/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://aclr.co	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Farro	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Medium	(3, 1, 1033, 17)
