NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Name ID [256]	Macintosh	Roman	English	Weight	(1, 0, 0, 256)
Name ID [257]	Macintosh	Roman	English	Light	(1, 0, 0, 257)
Name ID [258]	Macintosh	Roman	English	Regular	(1, 0, 0, 258)
Name ID [259]	Macintosh	Roman	English	Bold	(1, 0, 0, 259)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2018 The Kreon Project Authors (https://github.com/googlefonts/kreon)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Kreon	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Light	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.001;PYRS;Kreon-Light	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Kreon Light	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.001	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Kreon-Light	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Kreon Light is a trademark of Julia Petretta.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Julia Petretta and Eli Heuer	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Julia Petretta	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	https://juliapetretta.net, https://elih.blog	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	https://juliapetretta.net	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Name ID [256]	Windows	Unicode BMP	English (United States)	Weight	(3, 1, 1033, 256)
Name ID [257]	Windows	Unicode BMP	English (United States)	Light	(3, 1, 1033, 257)
Name ID [258]	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 258)
Name ID [259]	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 259)
Name ID [260]	Windows	Unicode BMP	English (United States)	Roman	(3, 1, 1033, 260)
