NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2014 Pooja Saxena (www.poojasaxena.in)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Farsan	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.001;UKWN;Farsan-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Farsan Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.001g;PS 1.001;hotconv 1.0.86;makeotf.lib2.5.63406 DEVELOPMENT	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Farsan-Regular	(1, 0, 0, 6)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2014 Pooja Saxena (www.poojasaxena.in)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Farsan	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.001;UKWN;Farsan-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Farsan Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.001g;PS 1.001;hotconv 1.0.86;makeotf.lib2.5.63406 DEVELOPMENT	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Farsan-Regular	(3, 1, 1033, 6)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
