NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2011 The Questrial Project Authors (https://github.com/googlefonts/questrial)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Questrial	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.000;NONE;Questrial-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Questrial Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.000; ttfautohint (v1.8.3)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Questrial-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Questrial is a trademark of Admix Designs (www.admixdesigns.com)	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Joe Prince, Laura Meseguer	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Joe Prince, Laura Meseguer	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	https://www.laurameseguer.com/	(3, 1, 1033, 11)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	https://scripts.sil.org/OFL	(3, 1, 1033, 14)
