NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2018 The Vollkorn Project Authors (https://github.com/FAlthausen/Vollkorn-Typeface)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Vollkorn SemiBold	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	5.000;NONE;Vollkorn-SemiBold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Vollkorn SemiBold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 5.000; ttfautohint (v1.8.3)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Vollkorn-SemiBold	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Friedrich Althausen	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Friedrich Althausen	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://vollkorn-typeface.com/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://friedrichalthausen.de/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Vollkorn	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	SemiBold	(3, 1, 1033, 17)
Name ID [256]	Windows	Unicode BMP	English (United States)	Alternative Letters	(3, 1, 1033, 256)
Name ID [257]	Windows	Unicode BMP	English (United States)	Polish	(3, 1, 1033, 257)
Name ID [258]	Windows	Unicode BMP	English (United States)	Dutch	(3, 1, 1033, 258)
Name ID [259]	Windows	Unicode BMP	English (United States)	Bulgarian	(3, 1, 1033, 259)
Name ID [260]	Windows	Unicode BMP	English (United States)	Serbian	(3, 1, 1033, 260)
Name ID [261]	Windows	Unicode BMP	English (United States)	Alternative Figure One	(3, 1, 1033, 261)
Name ID [262]	Windows	Unicode BMP	English (United States)	Alternative Figure Three	(3, 1, 1033, 262)
Name ID [263]	Windows	Unicode BMP	English (United States)	Alternative Figure Four	(3, 1, 1033, 263)
Name ID [264]	Windows	Unicode BMP	English (United States)	Alternative Figure Seven	(3, 1, 1033, 264)
