NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Variations PostScript Name Prefix	Macintosh	Roman	English	CuprumItalic	(1, 0, 0, 25)
Name ID [256]	Macintosh	Roman	English	Weight	(1, 0, 0, 256)
Name ID [257]	Macintosh	Roman	English	Italic	(1, 0, 0, 257)
Name ID [258]	Macintosh	Roman	English	Bold Italic	(1, 0, 0, 258)
Name ID [259]	Macintosh	Roman	English	CuprumItalic-Regular	(1, 0, 0, 259)
Name ID [260]	Macintosh	Roman	English	CuprumItalic-Bold	(1, 0, 0, 260)
Name ID [261]	Macintosh	Roman	English	Regular	(1, 0, 0, 261)
Name ID [262]	Macintosh	Roman	English	Bold	(1, 0, 0, 262)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2020 The Cuprum Project Authors (https://github.com/alexeiva/cuprum), with Reserved Font Name "Cuprum".	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Cuprum	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	3.000;NONE;Cuprum-Italic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Cuprum Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 3.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Cuprum-Italic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Cuprum is a trademark of Jovanny Lemonad.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Jovanny Lemonad	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Jovanny Lemonad	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://jovanny.ru	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://jovanny.ru	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Variations PostScript Name Prefix	Windows	Unicode BMP	English (United States)	CuprumItalic	(3, 1, 1033, 25)
Name ID [256]	Windows	Unicode BMP	English (United States)	Weight	(3, 1, 1033, 256)
Name ID [257]	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 257)
Name ID [258]	Windows	Unicode BMP	English (United States)	Bold Italic	(3, 1, 1033, 258)
Name ID [259]	Windows	Unicode BMP	English (United States)	CuprumItalic-Regular	(3, 1, 1033, 259)
Name ID [260]	Windows	Unicode BMP	English (United States)	CuprumItalic-Bold	(3, 1, 1033, 260)
Name ID [261]	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 261)
Name ID [262]	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 262)
