NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2013 The Exo 2 Project Authors (https://github.com/NDISCOVER/Exo-2.0)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Exo 2 Black	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.000;NONE;Exo2-Black	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Exo 2 Black	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Exo2-Black	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Natanael Gama	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Natanael Gama	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.ndiscovered.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.ndiscovered.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Exo 2	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Black	(3, 1, 1033, 17)
