NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2011 by vernon adams. All rights reserved. with Reserved Font Names "Tienne" and "Tienne Regular". This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Tienne	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.001;UKWN;Tienne-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Tienne Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.001	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Tienne-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Tienne is a trademark of vernon adams.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	vernon adams	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	vernon adams	(1, 0, 0, 9)
Designer URL	Macintosh	Roman	English	newtypography.co.uk	(1, 0, 0, 12)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011 by vernon adams. All rights reserved. with Reserved Font Names "Tienne" and "Tienne Regular". This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Tienne	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.001;UKWN;Tienne-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Tienne Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.001	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Tienne-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Tienne is a trademark of vernon adams.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	vernon adams	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	vernon adams	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	newtypography.co.uk	(3, 1, 1033, 12)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
