NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2011 by Olexa M. Volochay | Cyreal.org. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Federo	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	OlexaM.Volochay|Cyreal.org: Federo: 2011	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Federo	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.000	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Federo-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Federo is a trademark of Olexa M. Volochay | Cyreal.org.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Olexa M. Volochay | Cyreal.org	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Olexa M. Volochay | Cyreal.org	(1, 0, 0, 9)
Description	Macintosh	Roman	English	Copyright (c) 2011 by Olexa M. Volochay | Cyreal.org. All rights reserved. Based on Feder Grotesk by J.Erbar (1909)	(1, 0, 0, 10)
Vendor URL	Macintosh	Roman	English	http://cyreal.org	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.olexa.kiev.ua	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	Copyright (c) 2011, Olexa M. Volochay,  with Reserved Font Name Federo.  This Font Software is licensed under the SIL Open Font License, Version 1.1.  This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Compatible Full Name	Macintosh	Roman	English	Federo	(1, 0, 0, 18)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011 by Olexa M. Volochay | Cyreal.org. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Federo	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	OlexaM.Volochay|Cyreal.org: Federo: 2011	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Federo	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Federo-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Federo is a trademark of Olexa M. Volochay | Cyreal.org.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Olexa M. Volochay | Cyreal.org	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Olexa M. Volochay | Cyreal.org	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Copyright (c) 2011 by Olexa M. Volochay | Cyreal.org. All rights reserved. Based on Feder Grotesk by J.Erbar (1909)	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	http://cyreal.org	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.olexa.kiev.ua	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Copyright (c) 2011, Olexa M. Volochay,  with Reserved Font Name Federo.  This Font Software is licensed under the SIL Open Font License, Version 1.1.  This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
