NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2016 Google Inc. All Rights Reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Noto Sans Thai Cond	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.000;GOOG;NotoSansThai-Condensed	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Noto Sans Thai Condensed	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.000;GOOG;noto-source:20170915:90ef993387c0	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	NotoSansThai-Condensed	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Noto is a trademark of Google Inc.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Monotype Imaging Inc.	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Monotype Design Team	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Designed by Monotype design team.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.google.com/get/noto/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com/studio	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Noto Sans Thai	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Condensed	(3, 1, 1033, 17)
