NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2011-12 Lohit Fonts Project contributors. <http://fedorahosted.org/lohit>     Licensed under the SIL Open Font License 1.1 (see file OFL.txt)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Lohit Bengali	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	FontForge 2.0 : Lohit Bengali : 26-9-2012	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Lohit Bengali	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.5.1	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Lohit-Bengali	(1, 0, 0, 6)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2011-12 Lohit Fonts Project contributors. <http://fedorahosted.org/lohit>     Licensed under the SIL Open Font License 1.1 (see file OFL.txt)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Lohit Bengali	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	FontForge 2.0 : Lohit Bengali : 26-9-2012	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Lohit Bengali	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.5.1	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Lohit-Bengali	(3, 1, 1033, 6)
