NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2020 The League Gothic Project Authors (https://github.com/bghryct/league-gothic)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	League Gothic	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.600;NONE;LeagueGothic-Italic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	League Gothic Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.600; ttfautohint (v1.8.3)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	LeagueGothic-Italic	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	The League of Moveable Type	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	http://theleagueofmoveabletype.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
