NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2018 The Orbitron Project Authors (https://github.com/theleagueof/orbitron)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Orbitron Black	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.000;NONE;Orbitron-Black	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Orbitron Black	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.000; ttfautohint (v1.8.2)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Orbitron-Black	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	The League of Moveable Type	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Matt McInerney	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	https://www.theleagueofmoveabletype.com/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://matt.cc/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Orbitron	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Black	(3, 1, 1033, 17)
