NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Data by URW, Type Solutions, Inc. © 1993. Microsoft Corporation. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Goudy Old Style	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Goudy Old Style Bold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Goudy Old Style Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.52;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	GoudyOldStyleT-Bold	(1, 0, 0, 6)
Subfamily Name	Windows	Unicode BMP	Catalan (Catalan)	Negreta	(3, 1, 1027, 2)
Full Font Name	Windows	Unicode BMP	Catalan (Catalan)	Goudy Old Style Negreta	(3, 1, 1027, 4)
Subfamily Name	Windows	Unicode BMP	Czech (Czech Republic)	tučné	(3, 1, 1029, 2)
Full Font Name	Windows	Unicode BMP	Czech (Czech Republic)	Goudy Old Style tučné	(3, 1, 1029, 4)
Subfamily Name	Windows	Unicode BMP	Danish (Denmark)	fed	(3, 1, 1030, 2)
Full Font Name	Windows	Unicode BMP	Danish (Denmark)	Goudy Old Style fed	(3, 1, 1030, 4)
Subfamily Name	Windows	Unicode BMP	German (Germany)	Fett	(3, 1, 1031, 2)
Full Font Name	Windows	Unicode BMP	German (Germany)	Goudy Old Style Fett	(3, 1, 1031, 4)
Subfamily Name	Windows	Unicode BMP	Greek (Greece)	Έντονα	(3, 1, 1032, 2)
Full Font Name	Windows	Unicode BMP	Greek (Greece)	Goudy Old Style Έντονα	(3, 1, 1032, 4)
Copyright	Windows	Unicode BMP	English (United States)	Data by URW, Type Solutions, Inc. © 1993. Microsoft Corporation. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Goudy Old Style	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Goudy Old Style Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Goudy Old Style Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.52;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	GoudyOldStyleT-Bold	(3, 1, 1033, 6)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
Subfamily Name	Windows	Unicode BMP	Spanish (Traditional Sort) (Spain)	Negrita	(3, 1, 1034, 2)
Full Font Name	Windows	Unicode BMP	Spanish (Traditional Sort) (Spain)	Goudy Old Style Negrita	(3, 1, 1034, 4)
Subfamily Name	Windows	Unicode BMP	Finnish (Finland)	Lihavoitu	(3, 1, 1035, 2)
Full Font Name	Windows	Unicode BMP	Finnish (Finland)	Goudy Old Style Lihavoitu	(3, 1, 1035, 4)
Subfamily Name	Windows	Unicode BMP	French (France)	Gras	(3, 1, 1036, 2)
Full Font Name	Windows	Unicode BMP	French (France)	Goudy Old Style Gras	(3, 1, 1036, 4)
Subfamily Name	Windows	Unicode BMP	Hungarian (Hungary)	Félkövér	(3, 1, 1038, 2)
Full Font Name	Windows	Unicode BMP	Hungarian (Hungary)	Goudy Old Style Félkövér	(3, 1, 1038, 4)
Subfamily Name	Windows	Unicode BMP	Italian (Italy)	Grassetto	(3, 1, 1040, 2)
Full Font Name	Windows	Unicode BMP	Italian (Italy)	Goudy Old Style Grassetto	(3, 1, 1040, 4)
Subfamily Name	Windows	Unicode BMP	Dutch (Netherlands)	Vet	(3, 1, 1043, 2)
Full Font Name	Windows	Unicode BMP	Dutch (Netherlands)	Goudy Old Style Vet	(3, 1, 1043, 4)
Subfamily Name	Windows	Unicode BMP	Norwegian (Bokmal) (Norway)	Halvfet	(3, 1, 1044, 2)
Full Font Name	Windows	Unicode BMP	Norwegian (Bokmal) (Norway)	Goudy Old Style Halvfet	(3, 1, 1044, 4)
Subfamily Name	Windows	Unicode BMP	Polish (Poland)	Pogrubiony	(3, 1, 1045, 2)
Full Font Name	Windows	Unicode BMP	Polish (Poland)	Goudy Old Style Pogrubiony	(3, 1, 1045, 4)
Subfamily Name	Windows	Unicode BMP	Portuguese (Brazil)	Negrito	(3, 1, 1046, 2)
Full Font Name	Windows	Unicode BMP	Portuguese (Brazil)	Goudy Old Style Negrito	(3, 1, 1046, 4)
Subfamily Name	Windows	Unicode BMP	Russian (Russia)	Полужирный	(3, 1, 1049, 2)
Full Font Name	Windows	Unicode BMP	Russian (Russia)	Goudy Old Style Полужирный	(3, 1, 1049, 4)
Subfamily Name	Windows	Unicode BMP	Slovak (Slovakia)	Tučné	(3, 1, 1051, 2)
Full Font Name	Windows	Unicode BMP	Slovak (Slovakia)	Goudy Old Style Tučné	(3, 1, 1051, 4)
Subfamily Name	Windows	Unicode BMP	Swedish (Sweden)	Fet	(3, 1, 1053, 2)
Full Font Name	Windows	Unicode BMP	Swedish (Sweden)	Goudy Old Style Fet	(3, 1, 1053, 4)
Subfamily Name	Windows	Unicode BMP	Turkish (Turkey)	Kalın	(3, 1, 1055, 2)
Full Font Name	Windows	Unicode BMP	Turkish (Turkey)	Goudy Old Style Kalın	(3, 1, 1055, 4)
Subfamily Name	Windows	Unicode BMP	Slovenian (Slovenia)	Krepko	(3, 1, 1060, 2)
Full Font Name	Windows	Unicode BMP	Slovenian (Slovenia)	Goudy Old Style Krepko	(3, 1, 1060, 4)
Subfamily Name	Windows	Unicode BMP	Basque (Basque)	Lodia	(3, 1, 1069, 2)
Full Font Name	Windows	Unicode BMP	Basque (Basque)	Goudy Old Style Lodia	(3, 1, 1069, 4)
Subfamily Name	Windows	Unicode BMP	Spanish (Mexico)	Negrita	(3, 1, 2058, 2)
Full Font Name	Windows	Unicode BMP	Spanish (Mexico)	Goudy Old Style Negrita	(3, 1, 2058, 4)
Subfamily Name	Windows	Unicode BMP	Portuguese (Portugal)	Negrito	(3, 1, 2070, 2)
Full Font Name	Windows	Unicode BMP	Portuguese (Portugal)	Goudy Old Style Negrito	(3, 1, 2070, 4)
Subfamily Name	Windows	Unicode BMP	Spanish (Modern Sort) (Spain)	Negrita	(3, 1, 3082, 2)
Full Font Name	Windows	Unicode BMP	Spanish (Modern Sort) (Spain)	Goudy Old Style Negrita	(3, 1, 3082, 4)
Subfamily Name	Windows	Unicode BMP	French (Canada)	Gras	(3, 1, 3084, 2)
Full Font Name	Windows	Unicode BMP	French (Canada)	Goudy Old Style Gras	(3, 1, 3084, 4)
