NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2018 The Major Mono Project Authors (https://github.com/googlefonts/majormono)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Major Mono Display	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	2.000;PRLK;MajorMonoDisplay-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Major Mono Display Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.000; ttfautohint (v1.8) -l 8 -r 50 -G 200 -x 14 -D latn -f none -a qsq -X ""	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	MajorMonoDisplay-Regular	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Emre Parlak	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Emre Parlak	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	www.emreparlak.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	www.emreparlak.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2018 The Major Mono Project Authors (https://github.com/googlefonts/majormono)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Major Mono Display	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.000;PRLK;MajorMonoDisplay-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Major Mono Display Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.000; ttfautohint (v1.8) -l 8 -r 50 -G 200 -x 14 -D latn -f none -a qsq -X ""	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	MajorMonoDisplay-Regular	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Emre Parlak	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Emre Parlak	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	www.emreparlak.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	www.emreparlak.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
